chrom	start	end	peak_midpoint	nearest_gene_name	nearest_gene_id	nearest_gene_type	nearest_gene_strand	distance_to_tss
chr1	47996351	47998139	47997245	TRABD2B	ENSG00000269113.4	protein_coding	-	-139
chr1	48917775	48918636	48918205	ENSG00000286597	ENSG00000286597.1	lncRNA	+	-7815
chr1	50308856	50309218	50309037	LINC02808	ENSG00000284696.2	lncRNA	-	-12154
chr1	51421999	51422358	51422178	ENSG00000238140	ENSG00000238140.1	lncRNA	+	-39542
chr1	53754568	53755094	53754831	GLIS1	ENSG00000174332.6	protein_coding	-	15668
chr1	56709159	56709665	56709412	PRKAA2	ENSG00000162409.12	protein_coding	+	64099
chr1	58881460	58881954	58881707	ENSG00000231740	ENSG00000231740.1	lncRNA	-	30454
chr1	59057173	59057671	59057422	ENSG00000241042	ENSG00000241042.1	lncRNA	-	1374
chr1	59427105	59427639	59427372	FGGY	ENSG00000172456.18	protein_coding	+	130735
chr1	59476951	59477702	59477326	FGGY	ENSG00000172456.18	protein_coding	+	180689
chr1	61079872	61080226	61080049	NFIA-AS2	ENSG00000237928.6	lncRNA	-	23165
chr1	61101860	61102401	61102130	NFIA-AS2	ENSG00000237928.6	lncRNA	-	45246
chr1	61116300	61116845	61116572	NFIA-AS2	ENSG00000237928.6	lncRNA	-	59688
chr1	61120925	61121335	61121130	NFIA-AS2	ENSG00000237928.6	lncRNA	-	64246
chr1	61226771	61227604	61227187	NFIA-AS1	ENSG00000237853.6	lncRNA	-	-26322
chr1	61244007	61244549	61244278	NFIA-AS1	ENSG00000237853.6	lncRNA	-	-9231
chr1	61253335	61255655	61254495	NFIA-AS1	ENSG00000237853.6	lncRNA	-	986
chr1	61337956	61339320	61338638	NFIA-AS1	ENSG00000237853.6	lncRNA	-	85129
chr1	63322050	63324184	63323117	FOXD3	ENSG00000187140.6	protein_coding	+	551
chr1	64519893	64520348	64520120	CACHD1	ENSG00000158966.16	protein_coding	+	49992
chr1	64654354	64654972	64654663	MIR4794	ENSG00000264470.1	miRNA	+	74817
chr1	66271174	66271797	66271485	RNU4-88P	ENSG00000223152.1	snRNA	-	176940
chr1	66335873	66336461	66336167	SGIP1	ENSG00000118473.23	protein_coding	+	-197099
chr1	71521686	71522022	71521854	ENSG00000231985	ENSG00000231985.1	lncRNA	+	-49101
chr1	76826051	76826906	76826478	ST6GALNAC5	ENSG00000117069.15	protein_coding	+	-41001
chr1	76881676	76882191	76881933	ST6GALNAC5	ENSG00000117069.15	protein_coding	+	14454
chr1	80341027	80341504	80341265	ENSG00000225598	ENSG00000225598.1	lncRNA	-	-33355
chr1	80656650	80656999	80656824	ENSG00000224326	ENSG00000224326.1	lncRNA	-	72462
chr1	80918140	80918993	80918566	MTND2P30	ENSG00000227937.1	processed_pseudogene	+	-162223
chr1	81304188	81304538	81304363	ADGRL2	ENSG00000117114.21	protein_coding	+	-1783
chr1	81305725	81306679	81306202	ADGRL2	ENSG00000117114.21	protein_coding	+	56
chr1	82517589	82517990	82517789	ENSG00000233290	ENSG00000233290.4	lncRNA	-	-330415
chr1	82632011	82632618	82632314	ENSG00000233290	ENSG00000233290.4	lncRNA	-	-215890
chr1	83742497	83742898	83742697	ENSG00000237076	ENSG00000237076.2	lncRNA	+	-23719
chr1	85158929	85159375	85159152	ENSG00000280099	ENSG00000280099.1	TEC	-	4950
chr1	88061498	88061864	88061681	ENSG00000270507	ENSG00000270507.1	processed_pseudogene	+	-251471
chr1	89552597	89553132	89552864	ENSG00000288629	ENSG00000288629.1	protein_coding	+	-26727
chr1	91021128	91022533	91021830	ZNF644	ENSG00000122482.22	protein_coding	-	-441
chr1	93613766	93614523	93614144	BCAR3-AS1	ENSG00000224093.7	lncRNA	+	22179
chr1	93625477	93626068	93625772	BCAR3-AS1	ENSG00000224093.7	lncRNA	+	33807
chr1	94081709	94082399	94082054	ABCA4	ENSG00000198691.14	protein_coding	-	-39093
chr1	94648181	94648629	94648405	KATNBL1P2	ENSG00000232857.2	processed_pseudogene	-	-2972
chr1	98794264	98794670	98794467	SNX7	ENSG00000162627.17	protein_coding	+	132767
chr1	99647525	99648037	99647781	PALMD	ENSG00000099260.12	protein_coding	+	1669
chr1	99662407	99663152	99662779	PALMD	ENSG00000099260.12	protein_coding	+	16667
chr1	100538775	100540311	100539543	GPR88	ENSG00000181656.7	protein_coding	+	1405
chr1	101238663	101239158	101238910	S1PR1	ENSG00000170989.10	protein_coding	+	2046
chr1	107648076	107648423	107648249	NDUFA4P1	ENSG00000224550.1	processed_pseudogene	+	143047
chr1	107877101	107877507	107877304	MIR7852	ENSG00000275455.1	miRNA	+	-19918
chr1	109198004	109198737	109198370	SARS1	ENSG00000031698.13	protein_coding	+	-15547
chr1	109392833	109393335	109393084	SORT1	ENSG00000134243.12	protein_coding	-	-4833
chr1	109482968	109484443	109483705	ATXN7L2	ENSG00000162650.17	protein_coding	+	227
chr1	109490629	109491794	109491211	CYB561D1	ENSG00000174151.15	protein_coding	+	-2840
chr1	110053632	110054182	110053907	ENSG00000258634	ENSG00000258634.3	lncRNA	+	-4432
chr1	110339599	110340243	110339921	RBM15-AS1	ENSG00000227963.2	lncRNA	-	751
chr1	110645944	110646507	110646225	KCNA2	ENSG00000177301.16	protein_coding	-	14752
chr1	112618450	112620174	112619312	CAPZA1	ENSG00000116489.13	protein_coding	+	-492
chr1	112620173	112620529	112620351	ST7L	ENSG00000007341.19	protein_coding	-	-473
chr1	113811171	113812786	113811978	ENSG00000231128	ENSG00000231128.7	lncRNA	+	-400
chr1	115929783	115930226	115930004	ENSG00000271143	ENSG00000271143.1	processed_pseudogene	+	13508
chr1	116877942	116878714	116878328	ENSG00000272715	ENSG00000272715.1	lncRNA	-	-31202
chr1	116909348	116910900	116910124	PTGFRN	ENSG00000134247.10	protein_coding	+	209
chr1	116984673	116985073	116984873	CD101	ENSG00000134256.13	protein_coding	+	-16876
chr1	145871927	145872985	145872456	PIAS3	ENSG00000131788.16	protein_coding	-	12621
chr1	145956803	145957113	145956958	LIX1L	ENSG00000271601.4	protein_coding	-	-1058
chr1	145957320	145958345	145957832	LIX1L	ENSG00000271601.4	protein_coding	-	-184
chr1	145960446	145961070	145960758	ENSG00000278431	ENSG00000278431.1	lncRNA	+	-629
chr1	145994462	145994840	145994651	TXNIP	ENSG00000265972.6	protein_coding	-	-1927
chr1	150267912	150269533	150268722	C1orf54	ENSG00000118292.9	protein_coding	+	523
chr1	151838023	151839045	151838534	C2CD4D	ENSG00000225556.2	protein_coding	-	-2022
chr1	153612847	153613261	153613054	S100A16	ENSG00000188643.11	protein_coding	-	-90
chr1	153921937	153923887	153922912	ENSG00000284738	ENSG00000284738.2	lncRNA	+	-371
chr1	153957726	153958942	153958334	CRTC2	ENSG00000160741.17	protein_coding	-	-280
chr1	153962681	153963067	153962874	MIR6737	ENSG00000276584.1	miRNA	-	455
chr1	155001567	155002652	155002109	ENSG00000289103	ENSG00000289103.2	lncRNA	-	2
chr1	155003751	155004308	155004029	ZBTB7B	ENSG00000160685.14	protein_coding	+	1400
chr1	155005357	155005981	155005669	ZBTB7B	ENSG00000160685.14	protein_coding	+	3040
chr1	155128702	155130135	155129418	EFNA1	ENSG00000169242.12	protein_coding	+	1543
chr1	155934044	155934820	155934432	KHDC4	ENSG00000132680.11	protein_coding	-	20
chr1	159860306	159860948	159860627	VSIG8	ENSG00000243284.1	protein_coding	-	-2029
chr1	159945443	159946349	159945896	IGSF9	ENSG00000085552.18	protein_coding	-	284
chr1	161083227	161083915	161083571	NECTIN4-AS1	ENSG00000228917.1	lncRNA	+	-893
chr1	161227248	161227997	161227622	MIR5187	ENSG00000284035.1	miRNA	+	437
chr1	163823993	163824442	163824217	ENSG00000228289	ENSG00000228289.1	processed_pseudogene	-	54527
chr1	164558479	164560098	164559288	PBX1	ENSG00000185630.20	protein_coding	+	3705
chr1	164688727	164689250	164688988	ENSG00000269887	ENSG00000269887.1	lncRNA	+	8904
chr1	164771538	164772060	164771799	PBX1-AS1	ENSG00000233693.1	lncRNA	-	-2841
chr1	165257943	165258575	165258259	LMX1A-AS1	ENSG00000238022.2	lncRNA	+	42309
chr1	165543743	165544423	165544083	LRRC52	ENSG00000162763.4	protein_coding	+	84
chr1	167043909	167044459	167044184	ENSG00000227907	ENSG00000227907.1	lncRNA	+	-8366
chr1	167937412	167937708	167937560	MPC2	ENSG00000143158.11	protein_coding	-	489
chr1	170145712	170147162	170146437	NTMT2	ENSG00000203740.4	protein_coding	+	479
chr1	170309365	170310040	170309702	LINC01142	ENSG00000224286.6	lncRNA	-	25426
chr1	171817389	171818336	171817862	DNM3	ENSG00000197959.15	protein_coding	+	-24
chr1	172588706	172589335	172589020	RNU6-693P	ENSG00000251943.1	snRNA	-	-24513
chr1	173206690	173207997	173207343	TNFSF4	ENSG00000117586.11	protein_coding	-	13
chr1	176707291	176707907	176707599	PTP4A1P7	ENSG00000237514.3	processed_pseudogene	-	90814
chr1	176988994	176990273	176989633	MIR488	ENSG00000202609.4	miRNA	-	-39811
chr1	177170627	177171619	177171123	BRINP2	ENSG00000198797.7	protein_coding	+	166
chr1	177208973	177209836	177209404	BRINP2	ENSG00000198797.7	protein_coding	+	38447
chr1	177274630	177275358	177274994	LINC01645	ENSG00000224968.4	lncRNA	+	-76565
chr1	180631678	180632972	180632325	XPR1	ENSG00000143324.14	protein_coding	+	304
chr1	183416731	183417756	183417243	NMNAT2	ENSG00000157064.11	protein_coding	-	-1136
chr1	184556597	184557216	184556906	ENSG00000232036	ENSG00000232036.2	processed_pseudogene	+	-9604
chr1	185400060	185400473	185400266	RNU7-183P	ENSG00000252407.1	snRNA	+	-33977
chr1	187862425	187863012	187862718	ENSG00000223847	ENSG00000223847.1	processed_pseudogene	-	147984
chr1	192904338	192905029	192904683	RN7SKP126	ENSG00000223075.1	misc_RNA	-	28699
chr1	193185729	193186878	193186303	B3GALT2	ENSG00000162630.6	protein_coding	-	-309
chr1	197868906	197869299	197869102	C1orf53	ENSG00000203724.11	protein_coding	+	-33527
chr1	197924528	197924899	197924713	LHX9	ENSG00000143355.16	protein_coding	+	12812
chr1	198465361	198465928	198465644	ENSG00000287989	ENSG00000287989.1	lncRNA	-	-54232
chr1	198681757	198682435	198682096	PEBP1P3	ENSG00000236278.2	processed_pseudogene	-	2064
chr1	198935473	198935898	198935685	MIR181A1HG	ENSG00000229989.6	lncRNA	-	-1785
chr1	198936360	198937808	198937084	MIR181A1HG	ENSG00000229989.6	lncRNA	-	-386
chr1	200409006	200410467	200409736	ZNF281	ENSG00000162702.8	protein_coding	-	-319
chr1	200890827	200891817	200891322	INAVA	ENSG00000163362.11	protein_coding	+	275
chr1	201023444	201023950	201023697	KIF21B	ENSG00000116852.15	protein_coding	-	-16
chr1	202108154	202108743	202108448	CRIP1P3	ENSG00000227109.1	processed_pseudogene	+	11690
chr1	202135190	202135563	202135376	ARL8A	ENSG00000143862.8	protein_coding	-	-9366
chr1	202807406	202807879	202807642	KDM5B	ENSG00000117139.18	protein_coding	-	-844
chr1	203626442	203627274	203626858	ATP2B4	ENSG00000058668.16	protein_coding	+	27
chr1	203799141	203799534	203799337	ENSG00000288644	ENSG00000288644.1	protein_coding	+	-2756
chr1	205018139	205018833	205018486	CNTN2	ENSG00000184144.12	protein_coding	+	-24450
chr1	206420446	206420905	206420675	IKBKE	ENSG00000263528.8	protein_coding	+	-49800
chr1	206693020	206693431	206693225	ENSG00000224114	ENSG00000224114.1	processed_pseudogene	-	-3043
chr1	207821715	207822006	207821860	ENSG00000289071	ENSG00000289071.2	lncRNA	+	-1042
chr1	207822558	207823515	207823036	ENSG00000289071	ENSG00000289071.2	lncRNA	+	134
chr1	208100722	208101627	208101174	ENSG00000287220	ENSG00000287220.1	lncRNA	+	-4927
chr1	209323725	209324075	209323900	LINC01696	ENSG00000227940.2	lncRNA	+	-1491
chr1	213241664	213242076	213241870	RPL31P13	ENSG00000228646.3	processed_pseudogene	-	-187206
chr1	213473826	213474472	213474149	ENSG00000225233	ENSG00000225233.2	lncRNA	+	-18138
chr1	213996104	213997011	213996557	PROX1-AS1	ENSG00000230461.10	lncRNA	-	8050
chr1	214102700	214103363	214103031	ENSG00000272167	ENSG00000272167.2	lncRNA	-	72131
chr1	214645123	214646622	214645872	UBE2V1P13	ENSG00000224584.2	processed_pseudogene	-	32475
chr1	215004682	215006305	215005493	KCNK2	ENSG00000082482.14	protein_coding	+	-281
chr1	215845250	215845598	215845424	ENSG00000229242	ENSG00000229242.1	lncRNA	+	-41157
chr1	216421976	216422426	216422201	USH2A	ENSG00000042781.14	protein_coding	-	-1246
chr1	216530985	216532218	216531601	USH2A	ENSG00000042781.14	protein_coding	-	108154
chr1	223796179	223796591	223796385	TP53BP2	ENSG00000143514.18	protein_coding	-	-49568
chr1	223811633	223812039	223811836	TP53BP2	ENSG00000143514.18	protein_coding	-	-34117
chr1	228371035	228371867	228371451	ENSG00000287315	ENSG00000287315.1	lncRNA	-	2898
chr1	234612558	234613135	234612846	IRF2BP2	ENSG00000168264.11	protein_coding	-	2669
chr1	235246333	235246932	235246632	RPL23AP23	ENSG00000236863.2	processed_pseudogene	+	-49232
chr1	235809442	235810541	235809991	LYST-AS1	ENSG00000229463.2	lncRNA	+	-29491
chr1	244163732	244164436	244164084	ENSG00000287531	ENSG00000287531.1	lncRNA	-	-23474
chr1	245687472	245688745	245688108	ENSG00000231612	ENSG00000231612.1	lncRNA	-	11631
chr1	246214899	246215376	246215137	RNU6-1283P	ENSG00000202184.1	snRNA	-	26020
chr10	3692159	3693348	3692753	ENSG00000229672	ENSG00000229672.3	lncRNA	+	-56212
chr10	3782858	3783677	3783267	KLF6	ENSG00000067082.15	protein_coding	-	-2013
chr10	3852205	3852913	3852559	LINC02639	ENSG00000230573.1	lncRNA	+	18610
chr10	4662919	4663737	4663328	LINC00705	ENSG00000225269.3	lncRNA	+	7902
chr10	8055525	8055903	8055714	GATA3-AS1	ENSG00000197308.9	lncRNA	-	2231
chr10	10209002	10209665	10209333	Y_RNA	ENSG00000200849.1	misc_RNA	+	-23277
chr10	16105048	16105637	16105342	FTLP19	ENSG00000237913.1	processed_pseudogene	-	33534
chr10	16520447	16522053	16521250	ENSG00000287925	ENSG00000287925.1	lncRNA	+	-463
chr10	19169684	19170140	19169912	UBE2V2P1	ENSG00000226255.1	processed_pseudogene	+	118458
chr10	19891157	19891818	19891487	ENSG00000285852	ENSG00000285852.1	lncRNA	-	75210
chr10	19945189	19945869	19945529	ENSG00000285852	ENSG00000285852.1	lncRNA	-	129252
chr10	21364426	21364816	21364621	LINC02643	ENSG00000230109.1	lncRNA	-	-8328
chr10	21516116	21517913	21517014	MLLT10	ENSG00000078403.17	protein_coding	+	-7631
chr10	21518032	21519372	21518702	MLLT10	ENSG00000078403.17	protein_coding	+	-5943
chr10	21520068	21520374	21520221	MLLT10	ENSG00000078403.17	protein_coding	+	-4424
chr10	24449022	24449906	24449464	ENSG00000286951	ENSG00000286951.1	lncRNA	-	33006
chr10	24873175	24873745	24873460	ENSG00000228667	ENSG00000228667.1	processed_pseudogene	+	5816
chr10	25174331	25175327	25174829	GPR158	ENSG00000151025.11	protein_coding	+	28
chr10	32271525	32272020	32271772	ENSG00000227253	ENSG00000227253.3	lncRNA	+	5484
chr10	43962758	43963267	43963012	ENSG00000227029	ENSG00000227029.1	lncRNA	+	50569
chr10	44473132	44473544	44473338	ENSG00000270767	ENSG00000270767.1	processed_pseudogene	-	-15106
chr10	44786413	44787126	44786769	EIF2AP4	ENSG00000227395.1	processed_pseudogene	+	-19673
chr10	44801853	44802438	44802145	EIF2AP4	ENSG00000227395.1	processed_pseudogene	+	-4297
chr10	45625904	45626383	45626143	MARCHF8	ENSG00000165406.16	protein_coding	-	31238
chr10	49046687	49047275	49046981	ENSG00000233665	ENSG00000233665.8	lncRNA	-	53936
chr10	49052906	49053567	49053236	ENSG00000233665	ENSG00000233665.8	lncRNA	-	60191
chr10	50593544	50594443	50593993	RNU7-107P	ENSG00000238523.1	snRNA	-	3282
chr10	54800873	54801634	54801253	ENSG00000236958	ENSG00000236958.3	lncRNA	-	-67926
chr10	59908445	59908786	59908615	CCDC6	ENSG00000108091.11	protein_coding	-	2060
chr10	61642598	61643113	61642855	CABCOCO1	ENSG00000183346.9	protein_coding	+	-20073
chr10	61904777	61905075	61904926	ARID5B	ENSG00000150347.17	protein_coding	+	3243
chr10	62038469	62039242	62038855	ARID5B	ENSG00000150347.17	protein_coding	+	137172
chr10	62048955	62049669	62049312	ARID5B	ENSG00000150347.17	protein_coding	+	147629
chr10	62545204	62546327	62545765	LINC02929	ENSG00000285551.2	lncRNA	+	25318
chr10	63206647	63207878	63207262	TATDN1P1	ENSG00000234369.1	processed_pseudogene	+	-14892
chr10	63267752	63268110	63267931	TATDN1P1	ENSG00000234369.1	processed_pseudogene	+	45777
chr10	63268708	63269533	63269120	TATDN1P1	ENSG00000234369.1	processed_pseudogene	+	46966
chr10	63604050	63604465	63604257	ENSG00000286373	ENSG00000286373.1	lncRNA	+	-26414
chr10	63628597	63629042	63628819	ENSG00000286373	ENSG00000286373.1	lncRNA	+	-1852
chr10	66925766	66926263	66926014	LRRTM3	ENSG00000198739.11	protein_coding	+	-21
chr10	72087908	72088837	72088372	SPOCK2	ENSG00000107742.14	protein_coding	-	-659
chr10	73647095	73648744	73647919	SYNPO2L-AS1	ENSG00000271848.2	lncRNA	+	-6060
chr10	73997416	73998685	73998050	VCL	ENSG00000035403.18	protein_coding	+	2858
chr10	74418192	74418946	74418569	RAB5CP1	ENSG00000213731.2	processed_pseudogene	-	-5444
chr10	74588955	74589807	74589381	Y_RNA	ENSG00000206756.1	misc_RNA	+	37990
chr10	74825343	74827136	74826239	KAT6B	ENSG00000156650.14	protein_coding	+	1313
chr10	75401210	75402136	75401673	ZNF503	ENSG00000165655.17	protein_coding	-	-90
chr10	75402128	75403016	75402572	ZNF503	ENSG00000165655.17	protein_coding	-	809
chr10	75507343	75508036	75507689	MIR606	ENSG00000207583.1	miRNA	+	-44768
chr10	75542662	75543481	75543071	MIR606	ENSG00000207583.1	miRNA	+	-9386
chr10	76309601	76310676	76310138	ENSG00000278992	ENSG00000278992.1	TEC	+	39933
chr10	76397085	76398460	76397772	ENSG00000230575	ENSG00000230575.1	lncRNA	-	-41002
chr10	76984669	76985195	76984932	KCNMA1-AS1	ENSG00000236467.8	lncRNA	+	96889
chr10	77887504	77888078	77887791	ENSG00000204049	ENSG00000204049.1	lncRNA	+	20917
chr10	77909744	77910457	77910100	RN7SL284P	ENSG00000243446.3	misc_RNA	-	-2444
chr10	78814066	78814758	78814412	ENSG00000228683	ENSG00000228683.1	lncRNA	-	117391
chr10	79066976	79067790	79067383	ZMIZ1-AS1	ENSG00000224596.9	lncRNA	-	-511
chr10	79068513	79069337	79068925	ZMIZ1	ENSG00000108175.19	protein_coding	+	-40
chr10	79069841	79071575	79070708	ZMIZ1	ENSG00000108175.19	protein_coding	+	1743
chr10	79242112	79242483	79242297	PPIF	ENSG00000108179.14	protein_coding	+	-105171
chr10	86365594	86367708	86366651	GRID1	ENSG00000182771.19	protein_coding	-	-143
chr10	86868350	86868709	86868529	RPAP2P1	ENSG00000270874.1	processed_pseudogene	-	12294
chr10	88968473	88968892	88968682	FAS	ENSG00000026103.25	protein_coding	+	14870
chr10	89003103	89003706	89003404	ENSG00000286116	ENSG00000286116.1	lncRNA	-	9156
chr10	90968678	90969087	90968882	ENSG00000289512	ENSG00000289512.2	lncRNA	+	2904
chr10	91581948	91582684	91582316	ENSG00000289228	ENSG00000289228.2	lncRNA	-	7074
chr10	93566330	93567317	93566823	FFAR4	ENSG00000186188.11	protein_coding	+	159
chr10	93991841	93992389	93992115	PLCE1	ENSG00000138193.17	protein_coding	+	-1815
chr10	95388487	95388978	95388732	PDLIM1	ENSG00000107438.9	protein_coding	-	97721
chr10	95406681	95407309	95406995	PDLIM1	ENSG00000107438.9	protein_coding	-	115984
chr10	96129557	96130996	96130276	ENSG00000287009	ENSG00000287009.1	lncRNA	-	-251
chr10	97498053	97499827	97498940	UBTD1	ENSG00000165886.5	protein_coding	+	17
chr10	98316586	98317086	98316836	LOXL4	ENSG00000138131.4	protein_coding	-	48643
chr10	99329041	99330621	99329831	CNNM1	ENSG00000119946.12	protein_coding	+	476
chr10	100656174	100657034	100656604	Metazoa_SRP	ENSG00000274660.1	misc_RNA	-	-10404
chr10	100890576	100891238	100890907	Y_RNA	ENSG00000222072.1	misc_RNA	-	-16372
chr10	100988572	100988967	100988769	MRPL43	ENSG00000055950.17	protein_coding	-	1255
chr10	101018797	101019512	101019154	SFXN3	ENSG00000107819.15	protein_coding	+	-12079
chr10	101062582	101062924	101062753	KAZALD1	ENSG00000107821.15	protein_coding	+	765
chr10	101131027	101132290	101131658	TLX1	ENSG00000107807.13	protein_coding	+	359
chr10	101297709	101298410	101298059	RNU2-43P	ENSG00000222238.1	snRNA	+	-9469
chr10	101353551	101354969	101354260	BTRC	ENSG00000166167.18	protein_coding	+	228
chr10	101512752	101513137	101512944	DPCD	ENSG00000166171.13	protein_coding	+	-57615
chr10	101939024	101940048	101939536	Y_RNA	ENSG00000222430.1	misc_RNA	-	-13167
chr10	102241232	102242106	102241669	PITX3	ENSG00000107859.11	protein_coding	-	158
chr10	102244897	102246049	102245473	GBF1	ENSG00000107862.7	protein_coding	+	103
chr10	102419564	102420027	102419795	FBXL15	ENSG00000107872.14	protein_coding	+	607
chr10	102501874	102503185	102502529	ACTR1A	ENSG00000138107.13	protein_coding	-	-182
chr10	102644625	102645338	102644981	TRIM8-DT	ENSG00000272933.1	lncRNA	-	842
chr10	102791772	102792153	102791962	RNU6-1231P	ENSG00000252994.1	snRNA	+	-11966
chr10	103601912	103602739	103602325	ENSG00000273108	ENSG00000273108.1	lncRNA	+	-6293
chr10	103648954	103649715	103649334	ENSG00000289972	ENSG00000289972.1	lncRNA	+	-10824
