chrom	start	end	peak_midpoint	nearest_gene_name	nearest_gene_id	nearest_gene_type	nearest_gene_strand	distance_to_tss
chr10	44691446	44692029	44691737	Gm47388	ENSMUSG00000111641.1	TEC	+	-5442
chr10	44861555	44862497	44862026	Gm47398	ENSMUSG00000111868.1	lincRNA	-	-4759
chr10	44971834	44972463	44972148	Gm40638	ENSMUSG00000110898.1	lincRNA	-	28855
chr10	53863476	53863970	53863723	Gm47915	ENSMUSG00000112809.1	lincRNA	-	60195
chr10	56377066	56377510	56377288	Gja1	ENSMUSG00000050953.10	protein_coding	+	-41
chr10	56921055	56921762	56921408	Gm48053	ENSMUSG00000112837.1	lincRNA	-	6644
chr10	60361874	60362776	60362325	Vsir	ENSMUSG00000020101.14	protein_coding	+	15475
chr10	60831072	60831874	60831473	Unc5b	ENSMUSG00000020099.8	protein_coding	-	-107
chr10	62664730	62665671	62665200	Gm18514	ENSMUSG00000112901.1	processed_pseudogene	+	-4602
chr10	62865111	62865949	62865530	Gm48353	ENSMUSG00000112309.1	TEC	-	5537
chr10	66928103	66928568	66928335	Gm26576	ENSMUSG00000097921.2	lincRNA	+	8034
chr10	67003903	67004541	67004222	Gm31763	ENSMUSG00000112925.1	antisense	+	-797
chr10	67185445	67186174	67185809	Gm26359	ENSMUSG00000089498.1	snRNA	-	-50151
chr10	67225963	67226593	67226278	Gm26359	ENSMUSG00000089498.1	snRNA	-	-9682
chr10	68136406	68137103	68136754	Gm16212	ENSMUSG00000086838.1	antisense	-	110129
chr10	68464867	68465316	68465091	Gm32872	ENSMUSG00000112793.1	antisense	+	-65002
chr10	68558408	68558859	68558633	Cabcoco1	ENSMUSG00000019945.10	protein_coding	-	16738
chr10	68842051	68842839	68842445	1700048P04Rik	ENSMUSG00000112333.1	lincRNA	-	-62054
chr10	69321207	69321611	69321409	Gm40685	ENSMUSG00000112798.1	lincRNA	+	9271
chr10	70080888	70081274	70081081	Ccdc6	ENSMUSG00000048701.13	protein_coding	+	-16039
chr10	84622095	84622868	84622481	Gm17249	ENSMUSG00000097309.2	bidirectional_promoter_lncRNA	-	-96
chr10	94000222	94000637	94000429	Gm48191	ENSMUSG00000111349.1	processed_pseudogene	+	-27651
chr10	94072357	94072869	94072613	Gm18391	ENSMUSG00000110753.1	processed_pseudogene	-	-25526
chr10	94944504	94945551	94945027	Plxnc1	ENSMUSG00000074785.5	protein_coding	-	193
chr10	95142744	95143487	95143115	Gm29684	ENSMUSG00000112481.1	lincRNA	-	-2709
chr10	95417896	95418250	95418073	5730420D15Rik	ENSMUSG00000097766.1	bidirectional_promoter_lncRNA	+	699
chr10	96332401	96333250	96332825	Gm48428	ENSMUSG00000112749.1	lincRNA	-	-12998
chr10	96847163	96847772	96847467	Gm24587	ENSMUSG00000080347.1	miRNA	-	-8202
chr10	96948910	96949375	96949142	Gm33981	ENSMUSG00000112488.1	lincRNA	-	-9728
chr10	99241872	99242579	99242225	Gm48884	ENSMUSG00000112902.1	lincRNA	-	4610
chr10	99262851	99263456	99263153	Dusp6	ENSMUSG00000019960.8	protein_coding	+	-77
chr10	99393558	99393902	99393730	Gad1-ps	ENSMUSG00000090665.2	processed_pseudogene	+	-50313
chr10	99440952	99441552	99441252	Gad1-ps	ENSMUSG00000090665.2	processed_pseudogene	+	-2791
chr10	99686936	99687514	99687225	Gm35101	ENSMUSG00000112810.1	lincRNA	+	17712
chr10	111795722	111796193	111795957	Gm47865	ENSMUSG00000112137.1	lincRNA	-	-3895
chr10	112928374	112929259	112928816	Atxn7l3b	ENSMUSG00000074748.3	protein_coding	-	-184
chr10	116205534	116206081	116205807	Ptprb	ENSMUSG00000020154.10	protein_coding	+	-69715
chr10	117982480	117983079	117982779	Gm37852	ENSMUSG00000102896.1	TEC	+	-22158
chr10	117984694	117985345	117985019	Gm37852	ENSMUSG00000102896.1	TEC	+	-19918
chr10	119615184	119615688	119615436	Gm47027	ENSMUSG00000112555.1	antisense	-	-2283
chr10	120377169	120377858	120377513	9230105E05Rik	ENSMUSG00000090191.1	antisense	+	-12009
chr10	120751234	120751879	120751556	Gm10743	ENSMUSG00000112757.1	TEC	-	3224
chr10	120751841	120752412	120752126	Gm10743	ENSMUSG00000112757.1	TEC	-	3794
chr10	122678505	122679669	122679087	Mir8104	ENSMUSG00000099225.1	miRNA	+	-227
chr10	126330560	126330946	126330753	1700025K04Rik	ENSMUSG00000112482.1	lincRNA	+	-41221
chr10	127063096	127063985	127063540	Cdk4	ENSMUSG00000006728.12	protein_coding	+	7
chr10	127120742	127121499	127121120	Os9	ENSMUSG00000040462.13	protein_coding	-	-10
chr10	127266051	127267130	127266590	Dctn2	ENSMUSG00000025410.10	protein_coding	+	223
chr10	127288290	127289482	127288886	Mbd6	ENSMUSG00000025409.14	protein_coding	-	-131
chr10	127620885	127622410	127621647	Lrp1	ENSMUSG00000040249.15	protein_coding	-	500
chr10	127666415	127667224	127666819	Nemp1	ENSMUSG00000040195.11	protein_coding	+	-81
chr10	128091396	128091732	128091564	Baz2a	ENSMUSG00000040054.17	protein_coding	+	-12
chr10	128409500	128410180	128409840	Nabp2	ENSMUSG00000025374.13	protein_coding	-	-1651
chr10	128491536	128492008	128491772	Myl6	ENSMUSG00000090841.2	protein_coding	-	-2372
chr10	128565719	128566657	128566188	Pa2g4	ENSMUSG00000025364.13	protein_coding	-	202
chr11	3539055	3539774	3539414	Smtn	ENSMUSG00000020439.17	protein_coding	-	-1197
chr11	3648299	3649804	3649051	Morc2a	ENSMUSG00000034543.15	protein_coding	+	-139
chr11	6661214	6661587	6661400	Gm11978	ENSMUSG00000086373.8	transcribed_processed_pseudogene	-	1168
chr11	8215442	8216054	8215748	Gm11988	ENSMUSG00000082459.1	processed_pseudogene	-	101655
chr11	18927237	18927805	18927521	2900018N21Rik	ENSMUSG00000104244.1	TEC	-	37682
chr11	19020263	19020874	19020568	Meis1	ENSMUSG00000020160.18	protein_coding	-	1584
chr11	19204543	19205012	19204777	Gm37439	ENSMUSG00000102585.1	TEC	-	87344
chr11	23255117	23256500	23255808	Xpo1	ENSMUSG00000020290.14	protein_coding	+	-232
chr11	30257887	30258281	30258084	Gm8098	ENSMUSG00000073073.4	processed_transcript	+	-9379
chr11	31830623	31831291	31830957	Gm12107	ENSMUSG00000086335.1	lincRNA	+	-1702
chr11	31870215	31871104	31870659	Cpeb4	ENSMUSG00000020300.14	protein_coding	+	-1551
chr11	32680011	32680414	32680212	Fbxw11	ENSMUSG00000020271.17	protein_coding	+	37489
chr11	34977810	34978316	34978063	Gm25799	ENSMUSG00000064577.1	snRNA	+	79047
chr11	35006953	35007745	35007349	Gm25799	ENSMUSG00000064577.1	snRNA	+	108333
chr11	35120798	35121612	35121205	Slit3	ENSMUSG00000056427.10	protein_coding	+	-18
chr11	43528486	43529614	43529050	Ccnjl	ENSMUSG00000044707.7	protein_coding	+	267
chr11	43836173	43836863	43836518	Adra1b	ENSMUSG00000050541.14	protein_coding	-	-64691
chr11	44616795	44617443	44617119	Gm37695	ENSMUSG00000102563.1	TEC	-	104
chr11	44975073	44975678	44975375	Gm12159	ENSMUSG00000084773.1	lincRNA	-	-141552
chr11	46312086	46312633	46312359	Cyfip2	ENSMUSG00000020340.16	protein_coding	-	-499
chr11	51855398	51856541	51855969	Jade2	ENSMUSG00000020387.15	protein_coding	-	-1683
chr11	51857684	51858164	51857924	Jade2	ENSMUSG00000020387.15	protein_coding	-	272
chr11	51858404	51859307	51858855	Jade2	ENSMUSG00000020387.15	protein_coding	-	1203
chr11	52000042	52001042	52000542	Ube2b	ENSMUSG00000020390.12	protein_coding	-	-219
chr11	53466542	53466937	53466739	Gm12212	ENSMUSG00000085707.1	antisense	-	3127
chr11	54962748	54963472	54963110	Tnip1	ENSMUSG00000020400.17	protein_coding	-	194
chr11	59664783	59665308	59665045	Mprip	ENSMUSG00000005417.17	protein_coding	+	3741
chr11	59758984	59759782	59759383	1700007J10Rik	ENSMUSG00000086330.7	processed_transcript	-	19230
chr11	60537064	60538427	60537745	Alkbh5	ENSMUSG00000042650.3	protein_coding	+	1365
chr11	63046334	63046853	63046593	Tekt3	ENSMUSG00000042189.5	protein_coding	+	-15060
chr11	63131257	63131683	63131470	Pmp22	ENSMUSG00000018217.12	protein_coding	+	2489
chr11	67526521	67527358	67526939	Gm12301	ENSMUSG00000087058.1	antisense	-	-50526
chr11	69059294	69060415	69059854	Borcs6	ENSMUSG00000045176.3	protein_coding	+	138
chr11	69096845	69097395	69097120	Per1	ENSMUSG00000020893.17	protein_coding	+	1904
chr11	69098586	69099085	69098835	Per1	ENSMUSG00000020893.17	protein_coding	+	3619
chr11	69340104	69341141	69340622	Rnf227	ENSMUSG00000043419.11	protein_coding	+	162
chr11	69409303	69410071	69409687	Kdm6b	ENSMUSG00000018476.7	protein_coding	-	-3987
chr11	69410312	69411601	69410956	Kdm6b	ENSMUSG00000018476.7	protein_coding	-	-2718
chr11	69411585	69412058	69411821	Kdm6b	ENSMUSG00000018476.7	protein_coding	-	-1853
chr11	69417473	69418390	69417931	Kdm6b	ENSMUSG00000018476.7	protein_coding	-	4257
chr11	69655382	69655752	69655567	Sox15	ENSMUSG00000041287.5	protein_coding	+	254
chr11	69795194	69795790	69795492	Chrnb1	ENSMUSG00000041189.9	protein_coding	-	-450
chr11	69803689	69804397	69804043	Tmem102	ENSMUSG00000089876.3	protein_coding	-	-1580
chr11	69837413	69838796	69838104	Nlgn2	ENSMUSG00000051790.15	protein_coding	-	321
chr11	69920700	69922130	69921415	Eif5a	ENSMUSG00000078812.10	protein_coding	-	-542
chr11	69995326	69996016	69995671	Phf23	ENSMUSG00000018572.10	protein_coding	+	-105
chr11	69996780	69997591	69997185	Phf23	ENSMUSG00000018572.10	protein_coding	+	1409
chr11	70000319	70000937	70000628	Dvl2	ENSMUSG00000020888.16	protein_coding	+	34
chr11	70014872	70015628	70015250	Acadvl	ENSMUSG00000018574.14	protein_coding	-	-160
chr11	70020715	70021081	70020898	Dlg4	ENSMUSG00000020886.17	protein_coding	+	3957
chr11	70021124	70021928	70021526	Dlg4	ENSMUSG00000020886.17	protein_coding	+	4585
chr11	70230104	70230838	70230471	Bcl6b	ENSMUSG00000000317.11	protein_coding	-	674
chr11	70653631	70654902	70654266	Pfn1	ENSMUSG00000018293.4	protein_coding	-	-377
chr11	70668331	70669834	70669082	Spag7	ENSMUSG00000018287.12	protein_coding	-	-333
chr11	72489451	72490383	72489917	Spns2	ENSMUSG00000040447.15	protein_coding	-	14
chr11	74649009	74649855	74649432	Cluh	ENSMUSG00000020741.17	protein_coding	+	-62
chr11	74831821	74832595	74832208	Mnt	ENSMUSG00000000282.12	protein_coding	+	1289
chr11	74981437	74981894	74981665	Gm28180	ENSMUSG00000101295.1	antisense	-	-11828
chr11	75046884	75047541	75047212	Gm12333	ENSMUSG00000085765.1	antisense	-	7865
chr11	75051449	75052090	75051769	Gm12333	ENSMUSG00000085765.1	antisense	-	12422
chr11	75168581	75169374	75168977	Hic1	ENSMUSG00000043099.4	protein_coding	-	-541
chr11	75290675	75291264	75290969	Gm47300	ENSMUSG00000106179.1	miRNA	-	-27638
chr11	75513326	75513696	75513511	Scarf1	ENSMUSG00000038188.17	protein_coding	+	-28
chr11	75549816	75550266	75550041	Mir3971	ENSMUSG00000093100.1	miRNA	+	-1387
chr11	76243292	76244086	76243689	Mrm3	ENSMUSG00000038046.4	protein_coding	+	-25
chr11	76845984	76847340	76846662	Cpd	ENSMUSG00000020841.5	protein_coding	-	-355
chr11	76953503	76953963	76953733	Gm22611	ENSMUSG00000088913.1	snRNA	+	-20352
chr11	77467016	77467529	77467272	Coro6	ENSMUSG00000020836.15	protein_coding	+	4862
chr11	77491073	77491434	77491253	Ankrd13b	ENSMUSG00000037907.16	protein_coding	-	1576
chr11	77606771	77608288	77607529	Taok1	ENSMUSG00000017291.13	protein_coding	-	-285
chr11	77685650	77686521	77686085	Nufip2	ENSMUSG00000037857.16	protein_coding	+	-69
chr11	77930727	77931335	77931031	Sez6	ENSMUSG00000000632.13	protein_coding	+	232
chr11	77981543	77982130	77981836	Phf12	ENSMUSG00000037791.15	protein_coding	+	-917
chr11	77982120	77983188	77982654	Phf12	ENSMUSG00000037791.15	protein_coding	+	-99
chr11	78115167	78115904	78115535	Fam222b	ENSMUSG00000037750.16	protein_coding	+	20876
chr11	78245214	78246410	78245812	Sdf2	ENSMUSG00000002064.10	protein_coding	+	67
chr11	78511945	78512790	78512367	Poldip2	ENSMUSG00000001100.10	protein_coding	+	175
chr11	78696992	78698243	78697617	Nlk	ENSMUSG00000017376.15	protein_coding	-	245
chr11	80289666	80290584	80290125	Rhbdl3	ENSMUSG00000017692.8	protein_coding	+	-10786
chr11	80711327	80711751	80711539	Myo1d	ENSMUSG00000035441.14	protein_coding	-	-68485
chr11	83302489	83303284	83302886	Pex12	ENSMUSG00000018733.10	protein_coding	-	301
chr11	83465948	83466471	83466209	Mmp28	ENSMUSG00000020682.17	protein_coding	-	3139
chr11	83472501	83473827	83473164	Taf15	ENSMUSG00000020680.15	protein_coding	+	79
chr11	85492075	85492730	85492402	Gm23765	ENSMUSG00000087779.1	snRNA	+	-1356
chr11	85615125	85615871	85615498	Bcas3os1	ENSMUSG00000086199.7	antisense	-	-104245
chr11	85832015	85833602	85832808	Tbx2	ENSMUSG00000000093.6	protein_coding	+	258
chr11	87108455	87109567	87109011	Ska2	ENSMUSG00000020492.11	protein_coding	+	-222
chr11	88067602	88069347	88068474	Vezf1	ENSMUSG00000018377.10	protein_coding	+	196
chr11	88523930	88524364	88524147	Gm11510	ENSMUSG00000084411.2	processed_pseudogene	-	90634
chr11	88524558	88525494	88525026	Gm11510	ENSMUSG00000084411.2	processed_pseudogene	-	91513
chr11	88717743	88719200	88718471	Msi2	ENSMUSG00000069769.13	protein_coding	-	-41
chr11	89100903	89101445	89101174	Gm22534	ENSMUSG00000088798.1	snRNA	-	14024
chr11	89302619	89303159	89302889	Gm2018	ENSMUSG00000085798.1	lincRNA	+	167
chr11	89978054	89978870	89978462	Pctp	ENSMUSG00000020553.8	protein_coding	-	-24431
chr11	94043913	94044422	94044167	Gm11518	ENSMUSG00000081604.5	processed_pseudogene	-	6540
chr11	94474043	94474723	94474383	Cacna1g	ENSMUSG00000020866.17	protein_coding	-	186
chr11	94936721	94937414	94937067	Col1a1	ENSMUSG00000001506.10	protein_coding	+	844
chr11	94990618	94991313	94990965	Ppp1r9b	ENSMUSG00000038976.12	protein_coding	+	-69
chr11	95006521	95006928	95006724	Samd14	ENSMUSG00000047181.12	protein_coding	+	-3154
chr11	95079266	95079978	95079622	Itga3	ENSMUSG00000001507.16	protein_coding	-	2822
chr11	95309417	95310655	95310036	Kat7	ENSMUSG00000038909.16	protein_coding	-	-209
chr11	95365571	95366128	95365849	Gm29477	ENSMUSG00000101258.1	antisense	-	-18657
chr11	95384212	95385087	95384649	Slc35b1	ENSMUSG00000020873.15	protein_coding	+	-42
chr11	95514098	95515007	95514552	Nxph3	ENSMUSG00000046719.7	protein_coding	-	-17
chr11	95842000	95842857	95842428	Abi3	ENSMUSG00000018381.15	protein_coding	-	-47
chr11	96064486	96065828	96065157	Ube2z	ENSMUSG00000014349.7	protein_coding	-	-230
chr11	96075346	96076274	96075810	Atp5g1	ENSMUSG00000006057.15	protein_coding	-	141
chr11	96270806	96271373	96271089	Hoxb9	ENSMUSG00000020875.9	protein_coding	+	-367
chr11	96278770	96279146	96278958	Hoxb8	ENSMUSG00000056648.5	protein_coding	+	-2946
chr11	96284354	96284774	96284564	Hoxb7	ENSMUSG00000038721.8	protein_coding	+	-2058
chr11	96303051	96303464	96303257	Hoxb5	ENSMUSG00000038700.4	protein_coding	+	-78
chr11	96311557	96311977	96311767	Hoxb5os	ENSMUSG00000085645.1	antisense	-	4858
